BOSMAY17G_TJackson,BOSMAY17G_MWalsh,SH18P_Suff14_SIdowu,SH18P_Suff14_AScaccia,SH18P_Suff12_DCullinane,SH18P_Suff12_JLacet,SH16P_Suff12_DCullinane,SH16P_Suff12_JLacet,SH18P_Suff11_EMalia,SH18P_Suff11_CClemons,USH18P_7_APressley,USH18P_7_MCapuano,SS08P_Suff2_SChangDiaz,SS08P_Suff2_DWilkerson,SS13P_Suff1_LForry,SS13P_Suff1_NCollins,NAMELSAD,NAMELSAD20
186.0,235,,,,,,,,,192.0,109.0,52.0,187.0,,,Boston Ward 9 Precinct 4,0904
408.0,256,,,,,,,,,422.0,110.0,103.0,315.0,,,Boston Ward 9 Precinct 5,0905
80.0,175,,,,,,,,,140.0,137.0,74.0,53.0,,,Boston Ward 10 Precinct 1,1001
76.0,107,,,,,,,,,95.0,85.0,74.0,68.0,,,Boston Ward 10 Precinct 2,1002
52.0,112,,,,,,,,,102.0,78.0,84.0,44.0,,,Boston Ward 10 Precinct 3,1003
114.0,281,,,,,,,,,215.0,124.0,139.0,193.0,,,Boston Ward 10 Precinct 4,1004
118.0,118,,,,,,,,,185.0,96.0,115.0,61.0,,,Boston Ward 10 Precinct 5,1005
129.0,161,,,,,,,,,222.0,84.0,79.0,82.0,,,Boston Ward 10 Precinct 6,1006
155.0,248,,,,,,,,,352.0,97.0,70.0,158.0,,,Boston Ward 10 Precinct 7,1007
206.0,277,,,,,,,,,372.0,171.0,129.0,109.0,,,Boston Ward 10 Precinct 8,1008
266.0,273,,,,,,,,,428.0,259.0,202.0,84.0,,,Boston Ward 10 Precinct 9,1009
197.0,69,,,,,,,127.0,58.0,194.0,66.0,59.0,127.0,,,Boston Ward 11 Precinct 1,1101
278.0,207,,,,,,,191.0,125.0,338.0,74.0,59.0,219.0,,,Boston Ward 11 Precinct 2,1102
197.0,123,,,,,,,110.0,97.0,225.0,36.0,29.0,172.0,,,Boston Ward 11 Precinct 3,1103
294.0,258,,,,,,,315.0,114.0,459.0,113.0,134.0,154.0,,,Boston Ward 11 Precinct 4,1104
230.0,223,,,,,,,261.0,65.0,317.0,116.0,147.0,157.0,,,Boston Ward 11 Precinct 5,1105
261.0,180,,,,,,,313.0,33.0,334.0,112.0,174.0,67.0,,,Boston Ward 11 Precinct 6,1106
339.0,187,,,,,,,337.0,47.0,421.0,154.0,215.0,120.0,,,Boston Ward 11 Precinct 7,1107
311.0,265,,,,,,,410.0,34.0,485.0,160.0,214.0,89.0,,,Boston Ward 11 Precinct 8,1108
223.0,176,,,,,,,315.0,14.0,,,194.0,69.0,,,Boston Ward 11 Precinct 9,1109
258.0,181,,,,,,,363.0,22.0,,,204.0,82.0,,,Boston Ward 11 Precinct 10,1110
340.0,190,,,,,,,,,369.0,75.0,66.0,262.0,,,Boston Ward 12 Precinct 1,1201
338.0,212,,,,,,,,,396.0,94.0,50.0,346.0,,,Boston Ward 12 Precinct 2,1202
200.0,112,,,,,,,,,156.0,46.0,25.0,153.0,,,Boston Ward 12 Precinct 3,1203
191.0,112,,,,,,,,,204.0,46.0,32.0,127.0,,,Boston Ward 12 Precinct 4,1204
126.0,120,,,,,,,,,156.0,46.0,31.0,169.0,,,Boston Ward 12 Precinct 5,1205
161.0,138,,,,,,,,,216.0,40.0,28.0,139.0,,,Boston Ward 12 Precinct 6,1206
376.0,260,,,,,,,141.0,278.0,388.0,117.0,54.0,302.0,,,Boston Ward 12 Precinct 7,1207
122.0,70,,,,,,,,,119.0,37.0,,,,,Boston City Ward 12 Precinct 8,1208
183.0,118,,,,,,,93.0,92.0,172.0,52.0,37.0,178.0,,,Boston City Ward 12 Precinct 9,1209
180.0,213,,,,,,,,,234.0,76.0,,,,,Boston City Ward 13 Precinct 1,1301
63.0,67,,,,,,,,,74.0,16.0,,,,,Boston City Ward 13 Precinct 2,1302
91.0,155,,,,,,,,,,,,,90.0,61.0,Boston City Ward 13 Precinct 3,1303
127.0,108,,,,,,,,,162.0,44.0,,,,,Boston City Ward 13 Precinct 4,1304
100.0,164,,,,,,,,,164.0,86.0,,,98.0,47.0,Boston City Ward 13 Precinct 5,1305
126.0,279,,,,,,,,,181.0,126.0,,,132.0,98.0,Boston City Ward 13 Precinct 6,1306
102.0,367,,,,,,,,,,,,,89.0,199.0,Boston City Ward 13 Precinct 7,1307
100.0,278,,,,,,,,,156.0,114.0,,,90.0,104.0,Boston City Ward 13 Precinct 8,1308
98.0,304,,,,,,,,,172.0,115.0,,,129.0,109.0,Boston City Ward 13 Precinct 9,1309
151.0,609,,,,,,,,,,,,,290.0,284.0,Boston City Ward 13 Precinct 10,1310
217.0,230,,,,,,,,,325.0,91.0,,,,,Boston City Ward 14 Precinct 1,1401
319.0,269,,,,,,,,,357.0,75.0,,,259.0,44.0,Boston City Ward 14 Precinct 2,1402
138.0,141,,,,,,,99.0,82.0,170.0,55.0,22.0,160.0,,,Boston City Ward 14 Precinct 3,1403
144.0,153,,,,,,,,,198.0,45.0,,,116.0,26.0,Boston City Ward 14 Precinct 4,1404
86.0,154,,,,,,,,,149.0,49.0,,,127.0,14.0,Boston City Ward 14 Precinct 5,1405
147.0,123,,,,,,,,,146.0,53.0,27.0,123.0,,,Boston City Ward 14 Precinct 6,1406
129.0,103,,,,,,,,,161.0,35.0,29.0,131.0,,,Boston City Ward 14 Precinct 7,1407
166.0,162,,,,,,,,,252.0,52.0,41.0,143.0,,,Boston City Ward 14 Precinct 8,1408
95.0,130,,,,,,,,,148.0,50.0,18.0,98.0,,,Boston City Ward 14 Precinct 9,1409
152.0,163,,,,,,,,,191.0,66.0,35.0,157.0,,,Boston City Ward 14 Precinct 10,1410
137.0,125,,,,,,,,,199.0,40.0,8.0,100.0,,,Boston City Ward 14 Precinct 11,1411
93.0,99,,,,,,,,,114.0,36.0,,,83.0,12.0,Boston City Ward 14 Precinct 12,1412
141.0,141,,,,,,,,,191.0,45.0,,,113.0,16.0,Boston City Ward 14 Precinct 13,1413
150.0,162,,,,,,,,,199.0,55.0,,,156.0,22.0,Boston City Ward 14 Precinct 14,1414
130.0,150,,,,,,,,,215.0,88.0,,,171.0,29.0,Boston City Ward 15 Precinct 1,1501
77.0,114,,,,,,,,,148.0,38.0,,,99.0,17.0,Boston City Ward 15 Precinct 2,1502
40.0,79,,,,,,,,,78.0,42.0,,,60.0,19.0,Boston City Ward 15 Precinct 3,1503
144.0,250,,,,,,,,,223.0,103.0,,,157.0,76.0,Boston City Ward 15 Precinct 4,1504
112.0,174,,,,,,,,,182.0,64.0,,,128.0,23.0,Boston City Ward 15 Precinct 5,1505
49.0,195,,,,,,,,,74.0,58.0,,,52.0,85.0,Boston City Ward 15 Precinct 6,1506
114.0,147,,,,,,,,,169.0,60.0,,,109.0,24.0,Boston City Ward 15 Precinct 7,1507
83.0,163,,,,,,,,,114.0,51.0,,,83.0,61.0,Boston City Ward 15 Precinct 8,1508
109.0,154,,,,,,,,,124.0,62.0,,,91.0,73.0,Boston City Ward 15 Precinct 9,1509
108.0,178,,,,,,,,,118.0,54.0,,,95.0,74.0,Boston City Ward 16 Precinct 1,1601
49.0,250,,,,,,,,,,,,,69.0,93.0,Boston City Ward 16 Precinct 2,1602
153.0,235,,,,,,,,,245.0,74.0,,,163.0,61.0,Boston City Ward 16 Precinct 3,1603
106.0,253,,,,,,,,,167.0,73.0,,,108.0,84.0,Boston City Ward 16 Precinct 4,1604
82.0,238,,,,,,,,,,,,,139.0,158.0,Boston City Ward 16 Precinct 5,1605
190.0,333,,,,,,,,,288.0,112.0,,,185.0,117.0,Boston City Ward 16 Precinct 6,1606
79.0,469,,,,,,,,,,,,,114.0,249.0,Boston City Ward 16 Precinct 7,1607
105.0,485,,,322.0,85.0,216.0,22.0,,,214.0,221.0,,,249.0,207.0,Boston City Ward 16 Precinct 8,1608
63.0,585,,,,,,,,,,,,,140.0,357.0,Boston City Ward 16 Precinct 9,1609
52.0,380,,,,,,,,,,,,,94.0,270.0,Boston City Ward 16 Precinct 10,1610
97.0,491,,,349.0,74.0,228.0,39.0,,,205.0,225.0,,,228.0,208.0,Boston City Ward 16 Precinct 11,1611
34.0,653,,,,,,,,,,,,,148.0,440.0,Boston City Ward 16 Precinct 12,1612
130.0,135,,,,,,,,,198.0,51.0,,,125.0,16.0,Boston City Ward 17 Precinct 1,1701
95.0,111,,,,,,,,,153.0,43.0,,,81.0,20.0,Boston City Ward 17 Precinct 2,1702
247.0,288,,,,,,,,,347.0,107.0,,,251.0,39.0,Boston City Ward 17 Precinct 3,1703
229.0,399,,,248.0,204.0,151.0,99.0,,,382.0,132.0,,,344.0,89.0,Boston City Ward 17 Precinct 4,1704
100.0,96,,,,,,,,,157.0,14.0,,,77.0,16.0,Boston City Ward 17 Precinct 5,1705
188.0,192,,,,,,,,,282.0,91.0,,,178.0,32.0,Boston City Ward 17 Precinct 6,1706
94.0,91,,,,,,,,,140.0,21.0,,,85.0,14.0,Boston City Ward 17 Precinct 7,1707
166.0,159,,,,,,,,,230.0,50.0,,,131.0,36.0,Boston City Ward 17 Precinct 8,1708
148.0,193,,,,,,,,,246.0,98.0,,,223.0,19.0,Boston City Ward 17 Precinct 9,1709
206.0,224,,,118.0,184.0,60.0,52.0,,,277.0,60.0,,,199.0,15.0,Boston City Ward 17 Precinct 10,1710
92.0,76,,,67.0,76.0,31.0,20.0,,,121.0,34.0,,,93.0,10.0,Boston City Ward 17 Precinct 11,1711
121.0,202,,,88.0,155.0,44.0,61.0,,,183.0,77.0,,,174.0,26.0,Boston City Ward 17 Precinct 12,1712
133.0,376,,,217.0,174.0,153.0,60.0,,,260.0,152.0,,,351.0,107.0,Boston City Ward 17 Precinct 13,1713
178.0,298,,,198.0,235.0,119.0,111.0,,,325.0,124.0,,,224.0,52.0,Boston City Ward 17 Precinct 14,1714
252.0,351,,,225.0,250.0,85.0,135.0,,,381.0,143.0,,,323.0,43.0,Boston City Ward 18 Precinct 1,1801
152.0,227,,,113.0,180.0,62.0,90.0,,,251.0,80.0,,,260.0,7.0,Boston City Ward 18 Precinct 2,1802
257.0,228,,,159.0,259.0,84.0,96.0,,,341.0,115.0,,,274.0,36.0,Boston City Ward 18 Precinct 3,1803
193.0,250,,,147.0,225.0,82.0,110.0,,,317.0,83.0,,,264.0,32.0,Boston City Ward 18 Precinct 4,1804
236.0,308,,,217.0,257.0,136.0,101.0,,,362.0,134.0,,,344.0,23.0,Boston City Ward 18 Precinct 5,1805
288.0,310,,,276.0,237.0,119.0,116.0,,,426.0,147.0,,,366.0,22.0,Boston City Ward 18 Precinct 6,1806
170.0,278,,,,,,,,,232.0,107.0,,,,,Boston City Ward 18 Precinct 7,1807
269.0,418,,,,,,,,,396.0,201.0,,,,,Boston City Ward 18 Precinct 8,1808
165.0,328,122.0,133.0,,,,,,,273.0,165.0,,,,,Boston City Ward 18 Precinct 9,1809
276.0,465,143.0,161.0,,,,,,,407.0,291.0,,,,,Boston City Ward 18 Precinct 10,1810
126.0,220,82.0,87.0,,,,,,,199.0,120.0,,,,,Boston City Ward 18 Precinct 11,1811
135.0,330,59.0,162.0,,,,,,,211.0,186.0,,,,,Boston City Ward 18 Precinct 12,1812
92.0,157,47.0,79.0,,,,,,,165.0,80.0,,,90.0,32.0,Boston City Ward 18 Precinct 13,1813
95.0,167,79.0,72.0,,,,,,,151.0,81.0,,,,,Boston City Ward 18 Precinct 14,1814
137.0,271,124.0,103.0,,,,,,,262.0,130.0,,,201.0,30.0,Boston City Ward 18 Precinct 15,1815
143.0,512,53.0,305.0,,,,,,,239.0,367.0,,,,,Boston City Ward 18 Precinct 16,1816
126.0,377,67.0,163.0,,,,,,,240.0,171.0,,,,,Boston City Ward 18 Precinct 17,1817
156.0,456,115.0,194.0,,,,,,,299.0,205.0,,,,,Boston City Ward 18 Precinct 18,1818
237.0,483,160.0,259.0,,,,,,,343.0,263.0,,,,,Boston City Ward 18 Precinct 19,1819
162.0,585,77.0,429.0,,,,,,,273.0,325.0,,,,,Boston City Ward 18 Precinct 20,1820
271.0,271,,,235.0,215.0,94.0,101.0,,,360.0,124.0,,,348.0,28.0,Boston City Ward 18 Precinct 21,1821
177.0,445,81.0,204.0,,,,,,,288.0,223.0,,,,,Boston City Ward 18 Precinct 22,1822
111.0,226,103.0,61.0,,,,,,,195.0,126.0,,,,,Boston City Ward 18 Precinct 23,1823
276.0,209,,,,,,,,,,,181.0,80.0,,,Boston City Ward 19 Precinct 1,1901
245.0,395,,,,,,,,,,,401.0,122.0,,,Boston City Ward 19 Precinct 2,1902
199.0,232,,,,,,,,,,,204.0,61.0,,,Boston City Ward 19 Precinct 3,1903
318.0,313,,,,,,,,,,,269.0,95.0,,,Boston City Ward 19 Precinct 4,1904
245.0,271,,,,,,,,,,,262.0,103.0,,,Boston City Ward 19 Precinct 5,1905
389.0,347,,,,,,,541.0,35.0,,,338.0,115.0,,,Boston City Ward 19 Precinct 6,1906
321.0,252,,,,,,,469.0,33.0,494.0,171.0,229.0,118.0,,,Boston City Ward 19 Precinct 7,1907
168.0,162,,,,,,,,,,,235.0,53.0,,,Boston City Ward 19 Precinct 8,1908
154.0,154,,,,,,,242.0,9.0,,,174.0,53.0,,,Boston City Ward 19 Precinct 9,1909
247.0,342,,,,,,,409.0,48.0,350.0,214.0,,,,,Boston City Ward 19 Precinct 10,1910
182.0,207,,,,,,,241.0,47.0,238.0,119.0,,,,,Boston City Ward 19 Precinct 11,1911
182.0,275,,,,,,,,,258.0,183.0,,,,,Boston City Ward 19 Precinct 12,1912
141.0,187,,,,,,,189.0,36.0,178.0,106.0,,,,,Boston City Ward 19 Precinct 13,1913
166.0,378,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 1,2001
232.0,321,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 2,2002
137.0,348,61.0,165.0,,,,,,,171.0,193.0,,,,,Boston City Ward 20 Precinct 3,2003
256.0,282,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 4,2004
112.0,460,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 5,2005
144.0,495,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 6,2006
123.0,292,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 7,2007
139.0,277,65.0,102.0,,,,,,,,,,,,,Boston City Ward 20 Precinct 8,2008
144.0,308,81.0,108.0,,,,,,,,,,,,,Boston City Ward 20 Precinct 9,2009
168.0,521,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 10,2010
111.0,216,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 11,2011
83.0,333,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 12,2012
83.0,276,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 13,2013
85.0,315,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 14,2014
111.0,472,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 15,2015
95.0,499,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 16,2016
134.0,556,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 17,2017
85.0,272,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 18,2018
81.0,308,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 19,2019
122.0,411,,,,,,,,,,,,,,,Boston City Ward 20 Precinct 20,2020
92.0,147,,,,,,,,,188.0,101.0,,,,,Boston City Ward 21 Precinct 1,2101
24.0,25,,,,,,,,,33.0,17.0,,,,,Boston City Ward 21 Precinct 2,2102
74.0,61,,,,,,,,,111.0,55.0,,,,,Boston City Ward 21 Precinct 3,2103
72.0,58,,,,,,,,,119.0,40.0,,,,,Boston City Ward 21 Precinct 4,2104
124.0,115,,,,,,,,,199.0,78.0,,,,,Boston City Ward 21 Precinct 5,2105
121.0,160,,,,,,,,,140.0,135.0,,,,,Boston City Ward 21 Precinct 6,2106
119.0,133,,,,,,,,,172.0,68.0,,,,,Boston City Ward 21 Precinct 7,2107
142.0,119,,,,,,,,,253.0,70.0,,,,,Boston City Ward 21 Precinct 8,2108
128.0,133,,,,,,,,,180.0,87.0,,,,,Boston City Ward 21 Precinct 9,2109
100.0,210,,,,,,,,,178.0,98.0,,,,,Boston City Ward 21 Precinct 10,2110
127.0,168,,,,,,,,,209.0,107.0,,,,,Boston City Ward 21 Precinct 11,2111
129.0,228,,,,,,,,,204.0,107.0,,,,,Boston City Ward 21 Precinct 12,2112
113.0,418,,,,,,,,,197.0,234.0,,,,,Boston City Ward 21 Precinct 13,2113
76.0,77,,,,,,,,,131.0,71.0,,,,,Boston City Ward 21 Precinct 14,2114
103.0,110,,,,,,,,,171.0,74.0,,,,,Boston City Ward 21 Precinct 15,2115
108.0,215,,,,,,,,,180.0,146.0,,,,,Boston City Ward 21 Precinct 16,2116
186.0,240,,,,,,,,,213.0,163.0,,,,,Boston City Ward 22 Precinct 1,2201
236.0,268,,,,,,,,,277.0,157.0,,,,,Boston City Ward 22 Precinct 2,2202
153.0,267,,,,,,,,,243.0,146.0,,,,,Boston City Ward 22 Precinct 3,2203
95.0,242,,,,,,,,,164.0,174.0,,,,,Boston City Ward 22 Precinct 4,2204
79.0,129,,,,,,,,,109.0,64.0,,,,,Boston City Ward 22 Precinct 5,2205
83.0,295,,,,,,,,,120.0,92.0,,,,,Boston City Ward 22 Precinct 6,2206
125.0,295,,,,,,,,,191.0,188.0,,,,,Boston City Ward 22 Precinct 7,2207
77.0,213,,,,,,,,,82.0,145.0,,,,,Boston City Ward 22 Precinct 8,2208
99.0,177,,,,,,,,,180.0,132.0,,,,,Boston City Ward 22 Precinct 9,2209
149.0,237,,,,,,,,,214.0,163.0,,,,,Boston City Ward 22 Precinct 10,2210
90.0,168,,,,,,,,,115.0,114.0,,,,,Boston City Ward 22 Precinct 11,2211
84.0,196,,,,,,,,,110.0,134.0,,,,,Boston City Ward 22 Precinct 12,2212
77.0,176,,,,,,,,,107.0,107.0,,,,,Boston City Ward 22 Precinct 13,2213
,,,,314.0,241.0,192.0,150.0,,,391.0,200.0,,,,,Milton Town Precinct 1,Milton Town Precinct 1
,,,,374.0,196.0,422.0,106.0,,,,,,,,,Milton Town Precinct 2,Milton Town Precinct 2
,,,,,,,,,,0.0,0.0,,,0.0,0.0,Boston Ward 1 Precinct 15,0115
,,,,,,,,,,266.0,334.0,,,,,Cambridge City Ward 1 Precinct 1,Cambridge City Ward 1 Precinct 1
,,,,,,,,,,249.0,282.0,,,,,Cambridge City Ward 1 Precinct 2,Cambridge City Ward 1 Precinct 2
,,,,,,,,,,316.0,312.0,,,,,Cambridge City Ward 1 Precinct 3,Cambridge City Ward 1 Precinct 3
,,,,,,,,,,307.0,182.0,,,,,Cambridge City Ward 2 Precinct 1,Cambridge City Ward 2 Precinct 1
,,,,,,,,,,61.0,28.0,,,,,Cambridge City Ward 2 Precinct 2,Cambridge City Ward 2 Precinct 2
,,,,,,,,,,125.0,123.0,,,,,Cambridge City Ward 2 Precinct 3,Cambridge City Ward 2 Precinct 3
,,,,,,,,,,331.0,244.0,,,,,Cambridge City Ward 3 Precinct 1,Cambridge City Ward 3 Precinct 1
,,,,,,,,,,245.0,154.0,,,,,Cambridge City Ward 3 Precinct 2,Cambridge City Ward 3 Precinct 2
,,,,,,,,,,397.0,195.0,,,,,Cambridge City Ward 3 Precinct 3,Cambridge City Ward 3 Precinct 3
