MATCH,District,Ward,Precinct,MAY17_Jackson,MAY17_Walsh
Boston City Ward 20 Precinct 14,20-14,20,14,85,315
Boston City Ward 20 Precinct 15,20-15,20,15,111,472
Boston City Ward 20 Precinct 16,20-16,20,16,95,499
Boston City Ward 20 Precinct 17,20-17,20,17,134,556
Boston City Ward 20 Precinct 18,20-18,20,18,85,272
Boston City Ward 20 Precinct 19,20-19,20,19,81,308
Boston City Ward 20 Precinct 20,20-20,20,20,122,411
Boston City Ward 21 Precinct 1,21-1,21,1,92,147
Boston City Ward 21 Precinct 2,21-2,21,2,24,25
Boston City Ward 21 Precinct 3,21-3,21,3,74,61
Boston City Ward 21 Precinct 4,21-4,21,4,72,58
Boston City Ward 21 Precinct 5,21-5,21,5,124,115
Boston City Ward 21 Precinct 6,21-6,21,6,121,160
Boston City Ward 21 Precinct 7,21-7,21,7,119,133
Boston City Ward 21 Precinct 8,21-8,21,8,142,119
Boston City Ward 21 Precinct 9,21-9,21,9,128,133
Boston City Ward 21 Precinct 10,21-10,21,10,100,210
Boston City Ward 21 Precinct 11,21-11,21,11,127,168
Boston City Ward 21 Precinct 12,21-12,21,12,129,228
Boston City Ward 21 Precinct 13,21-13,21,13,113,418
Boston City Ward 21 Precinct 14,21-14,21,14,76,77
Boston City Ward 21 Precinct 15,21-15,21,15,103,110
Boston City Ward 21 Precinct 16,21-16,21,16,108,215
Boston City Ward 22 Precinct 1,22-1,22,1,186,240
Boston City Ward 22 Precinct 2,22-2,22,2,236,268
Boston City Ward 22 Precinct 3,22-3,22,3,153,267
Boston City Ward 22 Precinct 4,22-4,22,4,95,242
Boston City Ward 22 Precinct 5,22-5,22,5,79,129
Boston City Ward 22 Precinct 6,22-6,22,6,83,295
Boston City Ward 22 Precinct 7,22-7,22,7,125,295
Boston City Ward 22 Precinct 8,22-8,22,8,77,213
Boston City Ward 22 Precinct 9,22-9,22,9,99,177
Boston City Ward 22 Precinct 10,22-10,22,10,149,237
Boston City Ward 22 Precinct 11,22-11,22,11,90,168
Boston City Ward 22 Precinct 12,22-12,22,12,84,196
Boston City Ward 22 Precinct 13,22-13,22,13,77,176
